Date;24364 - Central Bank Economic Activity Index (IBC-Br) - seasonally adjusted - Index
01/2003;100.47
02/2003;101.90
03/2003;102.12
04/2003;101.13
05/2003;99.71
06/2003;100.40
07/2003;99.02
08/2003;99.76
09/2003;101.67
10/2003;101.67
11/2003;101.98
12/2003;101.65
01/2004;103.58
02/2004;104.47
03/2004;105.98
04/2004;106.61
05/2004;106.30
06/2004;107.31
07/2004;107.77
08/2004;108.20
09/2004;109.41
10/2004;108.62
11/2004;109.64
12/2004;108.90
01/2005;109.66
02/2005;110.18
03/2005;110.40
04/2005;111.16
05/2005;110.96
06/2005;110.53
07/2005;110.70
08/2005;111.23
09/2005;110.90
10/2005;110.89
11/2005;111.83
12/2005;112.26
01/2006;113.39
02/2006;113.62
03/2006;113.62
04/2006;114.25
05/2006;115.60
06/2006;114.76
07/2006;116.93
08/2006;116.53
09/2006;116.87
10/2006;118.06
11/2006;118.88
12/2006;120.01
01/2007;119.69
02/2007;120.21
03/2007;119.38
04/2007;121.34
05/2007;122.29
06/2007;123.40
07/2007;124.31
08/2007;124.29
09/2007;125.25
10/2007;126.16
11/2007;126.19
12/2007;126.97
01/2008;127.19
02/2008;126.80
03/2008;126.41
04/2008;127.78
05/2008;129.50
06/2008;131.08
07/2008;130.90
08/2008;131.02
09/2008;130.82
10/2008;128.13
11/2008;124.96
12/2008;121.02
01/2009;120.84
02/2009;122.24
03/2009;123.01
04/2009;123.63
05/2009;124.85
06/2009;125.87
07/2009;126.30
08/2009;128.02
09/2009;129.12
10/2009;129.80
11/2009;130.02
12/2009;131.26
01/2010;133.47
02/2010;135.23
03/2010;136.54
04/2010;137.15
05/2010;136.49
06/2010;136.19
07/2010;136.86
08/2010;137.69
09/2010;139.28
10/2010;138.86
11/2010;140.09
12/2010;138.46
01/2011;140.17
02/2011;140.66
03/2011;141.15
04/2011;140.96
05/2011;141.20
06/2011;142.12
07/2011;142.23
08/2011;141.91
09/2011;141.79
10/2011;141.70
11/2011;142.27
12/2011;140.42
01/2012;138.84
02/2012;140.40
03/2012;139.94
04/2012;141.18
05/2012;142.55
06/2012;143.56
07/2012;143.92
08/2012;144.35
09/2012;143.61
10/2012;144.95
11/2012;144.63
12/2012;144.21
01/2013;144.87
02/2013;143.85
03/2013;144.91
04/2013;146.17
05/2013;146.93
06/2013;146.19
07/2013;146.97
08/2013;147.10
09/2013;148.24
10/2013;148.29
11/2013;148.42
12/2013;148.81
01/2014;148.21
02/2014;147.79
03/2014;147.78
04/2014;146.90
05/2014;146.23
06/2014;143.60
07/2014;144.62
08/2014;145.75
09/2014;146.12
10/2014;145.67
11/2014;145.74
12/2014;146.43
01/2015;145.13
02/2015;144.21
03/2015;143.80
04/2015;142.38
05/2015;141.16
06/2015;139.84
07/2015;138.94
08/2015;139.21
09/2015;138.05
10/2015;138.95
11/2015;137.05
12/2015;136.50
01/2016;136.21
02/2016;135.81
03/2016;134.54
04/2016;134.73
05/2016;134.63
06/2016;135.07
07/2016;134.67
08/2016;134.11
09/2016;134.38
10/2016;133.78
11/2016;133.82
12/2016;132.85
01/2017;134.07
02/2017;136.32
03/2017;135.91
04/2017;135.95
05/2017;135.45
06/2017;136.05
07/2017;136.45
08/2017;135.93
09/2017;136.33
10/2017;136.70
11/2017;137.19
12/2017;138.72
01/2018;137.82
02/2018;137.95
Source;BCB-Depec
