"time","original"
1995-01-01,0.184767082749778
1995-04-01,0.337537886560993
1995-07-01,0.187813033821528
1995-10-01,0.192791515262091
1996-01-01,0.114280470939349
1996-04-01,0.1570907125975
1996-07-01,0.0700573938644913
1996-10-01,0.0444783325269269
1997-01-01,0.0911389006585761
1997-04-01,0.0756814668564072
1997-07-01,0.0104436930626255
1997-10-01,0.0337022636125719
1998-01-01,0.0620854662697046
1998-04-01,0.0308034889109932
1998-07-01,-0.0334911021091542
1998-10-01,0.00921752765275308
1999-01-01,0.120128315936647
1999-04-01,0.0428030607788155
1999-07-01,0.081211774436077
1999-10-01,0.115238104563015
2000-01-01,0.0394694028559883
2000-04-01,0.0267045784219344
2000-07-01,0.133302869277547
2000-10-01,0.0427967639842228
2001-01-01,0.0578772100672298
2001-04-01,0.062097320367317
2001-07-01,0.0962947995421388
2001-10-01,0.0912005332038299
2002-01-01,0.0608267272462137
2002-04-01,0.0586861830303067
2002-07-01,0.107307824957121
2002-10-01,0.289431904977078
2003-01-01,0.221664696623644
2003-04-01,0.058586370008505
2003-07-01,0.0540584373414448
2003-10-01,0.046976253870558
2004-01-01,0.0761252961467227
2004-04-01,0.0654747753063813
2004-07-01,0.0799544469632334
2004-10-01,0.0825501758067795
2005-01-01,0.0735699671941201
2005-04-01,0.0548531348820973
2005-07-01,0.0312351972209033
2005-10-01,0.0684424377591184
2006-01-01,0.0587195962388347
2006-04-01,0.00398829345224483
2006-07-01,0.018146158133399
2006-10-01,0.0457278544013258
2007-01-01,0.0511612167047089
2007-04-01,0.0328853733924885
2007-07-01,0.0361770056408319
2007-10-01,0.0582792565434052
2008-01-01,0.0621000127221383
2008-04-01,0.0864402995956097
2008-07-01,0.0436402795979578
2008-10-01,0.0444789120978122
2009-01-01,0.0503104619366064
2009-04-01,0.053675119580052
2009-07-01,0.0254920039640327
2009-10-01,0.0432319182159098
2010-01-01,0.085144453678605
2010-04-01,0.0407050243869895
2010-07-01,0.0201597994757841
2010-10-01,0.0920667358286182
2011-01-01,0.101212108303794
2011-04-01,0.0569987112728234
2011-07-01,0.0432194854178747
2011-10-01,0.0595660086261809
2012-01-01,0.0498930759920049
2012-04-01,0.0440332008956104
2012-07-01,0.0578778394954977
2012-10-01,0.082133735276998
2013-01-01,0.0799742165611577
2013-04-01,0.0482256856966854
2013-07-01,0.0250730470358067
2013-10-01,0.0842721215108067
2014-01-01,0.0898899063803245
2014-04-01,0.0629377249769594
2014-07-01,0.033677432587097
2014-10-01,0.070570756691033
2015-01-01,0.162129705144917
2015-04-01,0.0933720071769342
2015-07-01,0.0565994229185693
2015-10-01,0.117484799635089
2016-01-01,0.109026070912095
2016-04-01,0.0718438474410219
2016-07-01,0.0423796460963133
2016-10-01,0.0300033627826866
2017-01-01,0.0390813251201181
2017-04-01,0.00880484362840273
2017-07-01,0.0238562879670161
2017-10-01,0.0465620571792611
